Job ID,Job Title,Company Name,Job Location,Job Description,Classification
8880336ed104a833,Software Testers - Freshers,BigSpire Software,"BigSpire SoftwareBanaswadi, Bengaluru, Karnataka",N/A,Fake
696d9df6b5185bb5,Software Engineer I,LexisNexis,"LexisNexisBengaluru, Karnataka",N/A,Fake
8272ace534e57a60,Software Development Engineer,Accenture,"AccentureBengaluru, Karnataka",N/A,Fake
2e3566e3b8ee44e5,Software Engineer (Manual QA),BPK Tech,BPK TechKarnataka,N/A,Fake
b2676b6b2d619497,SENIOR QA/QC Engineer (Mechanical),General Industries,"General IndustriesHoskote, Karnataka",N/A,Fake
495e47bb7619b62f,Software Engineer- Frontend,Zeitview,"ZeitviewBengaluru, Karnataka",N/A,Fake
5fa6279bf3f8546d,Software Tester,Finquest,"FinquestRemote in Bengaluru, Karnataka",N/A,Fake
91fa33005ebc604e,Trainee Software Engineer,Apogaeis Technologies,"Apogaeis TechnologiesBengaluru, Karnataka",N/A,Fake
fd06829c0dfeee64,Facilitator Tumkur,InUnity LLP,"InUnity LLPTumkur, Karnataka",N/A,Fake
08815fe405ab7692,Software Tetser,Simpel Techlabs Pvt. Ltd.,"Simpel Techlabs Pvt. Ltd.Bengaluru, Karnataka",N/A,Fake
9c40f9c5aaa43e04,Software Engineer - Testing H/F/X,Société Générale,"Société GénéraleBengaluru, Karnataka",N/A,Fake
5299b9166f69fd72,Software Test Engineer,Cotech Innovations,"Cotech InnovationsBengaluru, Karnataka",N/A,Fake
8c6fd83efd95b751,Software Development Engineer in Test I - Automation Testing,S&P Global,"S&P GlobalBengaluru, Karnataka",N/A,Fake
dcbe7ea13359a881,QA Analyst,ClinConsent,"ClinConsentMysuru, Karnataka",N/A,Fake
e9dcbefbda849994,Quality Analyst,Werize,"WerizeHSR Layout, Bengaluru, Karnataka",N/A,Fake
